Date,Open,High,Low,Close,Adj Close,Volume
01-04-2022,1759,1794,1759,1790.099976,1734.07312,2050573
04-04-2022,1784,1829.849976,1776.599976,1826.349976,1769.188721,1955281
05-04-2022,1840,1845,1827,1836.050049,1778.585205,1718581
06-04-2022,1833,1858,1827.699951,1852.800049,1794.811035,2245496
07-04-2022,1849.900024,1855.849976,1810.150024,1826.300049,1769.140381,2003954
08-04-2022,1835.400024,1838.900024,1818.050049,1830.75,1773.450928,1903321
11-04-2022,1820.25,1829.75,1779,1781.5,1725.74231,2262446
12-04-2022,1780,1781.5,1733.599976,1747.699951,1693.000244,4215141
13-04-2022,1754.199951,1772.849976,1747.099976,1760.800049,1705.690308,1673417
18-04-2022,1746.300049,1749.949951,1715,1738.349976,1683.942871,1808707
19-04-2022,1748.300049,1760.75,1687,1705.75,1652.363159,2737766
20-04-2022,1709.949951,1712.400024,1671.349976,1691.599976,1638.656006,3832617
21-04-2022,1702.949951,1725.800049,1700,1714.5,1660.839355,1797489
22-04-2022,1701,1716.400024,1690.400024,1694.349976,1641.320068,1474689
25-04-2022,1675,1675,1652,1657.349976,1605.478027,1964344
26-04-2022,1680,1703.099976,1664,1699.949951,1646.744751,2440990
27-04-2022,1675,1691.599976,1666.699951,1677.050049,1624.561646,1346726
28-04-2022,1690,1731,1680,1719.25,1665.440552,3117433
29-04-2022,1731,1739,1687.150024,1694.349976,1641.320068,2404830
02-05-2022,1668.599976,1685.949951,1655.050049,1679.449951,1626.886353,1399802
04-05-2022,1679.5,1681.900024,1625.050049,1633.949951,1582.810425,1777673
05-05-2022,1650.699951,1671.199951,1633,1637.650024,1586.394775,1707752
06-05-2022,1616,1633,1612.099976,1622.449951,1571.670288,1439520
09-05-2022,1607.550049,1629.849976,1591.25,1616.150024,1565.567627,1400010
10-05-2022,1611,1629.599976,1601,1607.949951,1557.624023,1176030
11-05-2022,1600.5,1609,1557.349976,1570.800049,1521.636841,2988788
